year,month,day,hour,minute,second,epoch,moteid,temperature,humidity,light,voltage
2004,02,28,00,59,16.02785,3,1,19.9884,37.0933,45.08,2.69964
2004,02,28,01,03,16.33393,11,1,19.3024,38.4629,45.08,2.68742
2004,02,28,01,06,16.013453,17,1,19.1652,38.8039,45.08,2.68742
2004,02,28,01,06,46.778088,18,1,19.175,38.8379,45.08,2.69964
2004,02,28,01,08,45.992524,22,1,19.1456,38.9401,45.08,2.68742
2004,02,28,01,09,22.323858,23,1,19.1652,38.872,45.08,2.68742
2004,02,28,01,09,46.109598,24,1,19.1652,38.8039,45.08,2.68742
2004,02,28,01,10,16.6789,25,1,19.1456,38.8379,45.08,2.69964
2004,02,28,01,10,46.250524,26,1,19.1456,38.872,45.08,2.68742
2004,02,28,01,11,46.941288,28,1,19.1456,38.9401,45.08,2.69964
2004,02,28,01,12,46.251377,30,1,19.1358,38.9061,45.08,2.68742
2004,02,28,01,14,16.63127,33,1,19.1162,38.8039,45.08,2.69964
2004,02,28,01,14,46.569352,34,1,19.1162,38.872,45.08,2.69964
2004,02,28,01,15,16.649556,35,1,19.1064,39.0082,45.08,2.69964
2004,02,28,01,16,16.343708,37,1,19.1064,38.872,43.24,2.69964
2004,02,28,01,16,46.508622,38,1,19.0966,38.8039,43.24,2.69964
2004,02,28,01,17,46.427446,40,1,19.0966,38.7357,43.24,2.69964
2004,02,28,01,18,16.468248,41,1,19.0868,38.8039,43.24,2.69964
2004,02,28,01,20,16.10774,45,1,19.0672,38.9061,43.24,2.68742
2004,02,28,01,20,46.033312,46,1,19.0672,38.872,43.24,2.69964
2004,02,28,01,21,16.648189,47,1,19.0672,38.9061,43.24,2.69964
2004,02,28,01,22,16.02639,49,1,19.0868,39.0082,43.24,2.69964
2004,02,28,01,23,16.899912,51,1,19.0182,38.7357,43.24,2.68742
2004,02,28,01,23,46.545863,52,1,19.0182,38.7357,43.24,2.69964
2004,02,28,01,24,16.176842,53,1,19.0084,38.8039,43.24,2.69964
2004,02,28,01,26,16.656972,57,1,19.0084,38.9401,43.24,2.68742
2004,02,28,01,26,46.463293,58,1,19.0084,38.9401,43.24,2.69964
2004,02,28,01,28,46.483577,62,1,18.9986,38.9742,43.24,2.68742
2004,02,28,01,29,46.102532,64,1,19.0084,38.9742,43.24,2.69964
2004,02,28,01,30,46.454955,66,1,18.9888,39.0422,43.24,2.68742
2004,02,28,01,32,16.561857,69,1,18.9692,38.9401,43.24,2.69964
2004,02,28,01,32,46.312039,70,1,18.979,39.0763,43.24,2.69964
2004,02,28,01,33,46.446315,72,1,18.979,38.9742,43.24,2.68742
2004,02,28,01,34,46.258012,74,1,18.9692,38.9401,43.24,2.68742
2004,02,28,01,35,16.394184,75,1,18.9888,38.8039,43.24,2.69964
2004,02,28,01,36,16.806149,77,1,18.979,38.872,43.24,2.68742
2004,02,28,01,36,46.872566,78,1,18.9888,38.9061,43.24,2.69964
2004,02,28,01,37,16.691853,79,1,18.9692,38.8039,43.24,2.69964
2004,02,28,01,39,46.158044,84,1,18.9594,38.8039,43.24,2.68742
2004,02,28,01,42,16.849635,89,1,18.9594,38.8379,43.24,2.68742
2004,02,28,01,42,46.087976,90,1,18.9692,38.8039,43.24,2.69964
2004,02,28,01,44,16.118274,93,1,18.9398,38.7698,43.24,2.68742
2004,02,28,01,45,46.665826,96,1,18.93,38.8039,43.24,2.69964
2004,02,28,01,46,46.411103,98,1,18.9202,38.872,43.24,2.68742
2004,02,28,01,48,46.48106,102,1,18.9104,39.0082,43.24,2.69964
2004,02,28,01,49,46.499231,104,1,18.9006,38.9061,43.24,2.69964
2004,02,28,01,50,16.243615,105,1,18.9006,39.0082,43.24,2.69964
2004,02,28,01,50,46.640656,106,1,18.9104,39.0082,43.24,2.68742
2004,02,28,01,51,16.492577,107,1,18.9006,39.0082,43.24,2.69964
2004,02,28,01,52,16.658227,109,1,18.8908,39.0763,43.24,2.68742
2004,02,28,01,54,46.362044,114,1,18.9006,39.0082,43.24,2.69964
2004,02,28,01,56,16.384579,117,1,18.9104,39.0082,43.24,2.69964
2004,02,28,01,57,16.176569,119,1,18.8908,38.9401,43.24,2.68742
2004,02,28,02,01,46.132962,128,1,18.8712,38.9742,43.24,2.69964
2004,02,28,02,10,16.28078,145,1,18.8222,39.0082,43.24,2.68742
2004,02,28,02,11,16.721059,147,1,18.8124,39.0082,43.24,2.69964
2004,02,28,02,12,46.278991,150,1,18.8124,39.0082,43.24,2.68742
2004,02,28,02,13,16.505098,151,1,18.8026,39.0082,43.24,2.68742
2004,02,28,02,14,46.685489,154,1,18.7928,38.9401,43.24,2.68742
2004,02,28,02,16,46.546677,158,1,18.7928,38.9401,43.24,2.68742
2004,02,28,02,18,46.231028,162,1,18.7732,39.0082,43.24,2.68742
2004,02,28,02,19,16.175456,163,1,18.7732,39.0082,43.24,2.68742
2004,02,28,02,19,46.991259,164,1,18.7928,38.872,43.24,2.69964
2004,02,28,02,20,46.870029,166,1,18.7732,38.9061,43.24,2.69964
2004,02,28,02,21,16.554543,167,1,18.7536,38.8379,43.24,2.68742
2004,02,28,02,21,46.303901,168,1,18.7732,38.8039,43.24,2.69964
2004,02,28,02,23,16.60315,171,1,18.7634,38.872,43.24,2.68742
2004,02,28,02,23,46.44942,172,1,18.7536,38.8039,43.24,2.69964
2004,02,28,02,24,46.059627,174,1,18.7242,38.8039,43.24,2.68742
2004,02,28,02,25,46.515577,176,1,18.734,38.8379,43.24,2.69964
2004,02,28,02,26,17.23131,177,1,18.7242,38.9401,43.24,2.69964
2004,02,28,02,30,16.107116,185,1,18.734,38.872,43.24,2.69964
2004,02,28,02,31,16.348393,187,1,18.7242,38.9401,43.24,2.68742
2004,02,28,02,31,46.107955,188,1,18.7144,38.9401,43.24,2.68742
2004,02,28,02,34,46.698204,194,1,18.6948,38.9401,43.24,2.68742
2004,02,28,02,35,46.720846,196,1,18.6948,38.9401,43.24,2.68742
2004,02,28,02,36,16.849224,197,1,18.685,38.872,43.24,2.69964
2004,02,28,02,37,46.514175,200,1,18.6654,38.872,43.24,2.68742
2004,02,28,02,40,16.927811,205,1,18.6556,38.872,43.24,2.68742
2004,02,28,02,40,46.12126,206,1,18.6458,38.872,43.24,2.68742
2004,02,28,02,41,16.692999,207,1,18.636,38.872,43.24,2.69964
2004,02,28,02,42,46.365373,210,1,18.636,38.8379,43.24,2.68742
2004,02,28,02,43,46.923849,212,1,18.636,38.872,43.24,2.68742
2004,02,28,02,46,46.166591,218,1,18.636,38.8039,43.24,2.68742
2004,02,28,02,47,46.1321,220,1,18.6164,38.872,43.24,2.69964
2004,02,28,02,50,16.186743,225,1,18.6066,38.9061,43.24,2.68742
2004,02,28,03,02,17.064743,249,1,18.5478,38.9401,43.24,2.67532
2004,02,28,03,05,46.58116,256,1,18.5184,38.9401,43.24,2.68742
2004,02,28,03,07,46.193901,260,1,18.5086,39.0082,43.24,2.68742
2004,02,28,03,08,16.336506,261,1,18.4988,39.0763,43.24,2.68742
2004,02,28,03,08,47.118704,262,1,18.4988,39.0082,43.24,2.69964
2004,02,28,03,10,17.006142,265,1,18.4988,39.0422,43.24,2.68742
2004,02,28,03,10,46.49789,266,1,18.5086,39.0422,43.24,2.68742
2004,02,28,03,15,16.947661,275,1,18.5086,38.9742,43.24,2.68742
2004,02,28,03,19,17.102594,283,1,18.4694,38.9742,43.24,2.68742
2004,02,28,03,20,46.58663,286,1,18.4596,38.9742,43.24,2.68742
2004,02,28,03,23,46.447157,292,1,18.44,38.9401,43.24,2.68742
2004,02,28,03,24,16.877689,293,1,18.4204,38.9401,43.24,2.68742
2004,02,28,03,25,16.35358,295,1,18.4204,38.9401,43.24,2.68742
2004,02,28,03,26,16.320539,297,1,18.4106,39.0082,43.24,2.68742
2004,02,28,03,28,47.036129,302,1,18.4008,39.1443,43.24,2.68742
2004,02,28,03,29,47.077182,304,1,18.4008,39.0763,43.24,2.67532
2004,02,28,03,30,16.265942,305,1,18.4008,39.1443,43.24,2.69964
2004,02,28,03,32,16.659595,309,1,18.4106,39.0763,43.24,2.68742
2004,02,28,03,33,46.915347,312,1,18.4204,39.0422,43.24,2.68742
2004,02,28,03,34,46.13166,314,1,18.4106,39.0763,43.24,2.68742
2004,02,28,03,36,16.504041,317,1,18.4008,39.0763,43.24,2.69964
2004,02,28,03,36,47.220557,318,1,18.4008,39.0082,43.24,2.68742
2004,02,28,03,37,46.336297,320,1,18.4008,39.0082,43.24,2.68742
2004,02,28,03,40,47.111611,326,1,18.3812,39.0763,43.24,2.69964
2004,02,28,03,41,16.94203,327,1,18.3714,39.0082,43.24,2.68742
2004,02,28,03,41,47.056264,328,1,18.3812,39.0082,43.24,2.68742
2004,02,28,03,42,16.338341,329,1,18.3616,39.0082,43.24,2.69964
2004,02,28,03,45,46.527424,336,1,18.342,39.0082,43.24,2.68742
2004,02,28,03,46,16.159884,337,1,18.3322,39.0082,43.24,2.68742
2004,02,28,03,48,16.620748,341,1,18.3322,39.0082,43.24,2.67532
2004,02,28,03,48,47.027382,342,1,18.3322,39.0082,43.24,2.68742
2004,02,28,03,49,17.144805,343,1,18.342,39.0763,43.24,2.68742
2004,02,28,03,50,16.962891,345,1,18.3126,39.1443,43.24,2.68742
2004,02,28,03,51,16.66316,347,1,18.3224,39.0763,43.24,2.68742
2004,02,28,03,52,46.918528,350,1,18.3028,39.0763,43.24,2.68742
2004,02,28,03,53,16.177309,351,1,18.3028,39.1103,43.24,2.68742
2004,02,28,03,53,46.584561,352,1,18.293,39.1443,43.24,2.68742
2004,02,28,03,54,46.518158,354,1,18.3028,39.0763,43.24,2.68742
2004,02,28,03,56,46.430894,358,1,18.293,39.0763,43.24,2.67532
2004,02,28,03,57,16.842068,359,1,18.2832,39.0082,43.24,2.68742
2004,02,28,03,58,47.007662,362,1,18.2636,39.0763,43.24,2.68742
2004,02,28,04,00,16.541715,365,1,18.2734,39.0422,43.24,2.68742
2004,02,28,04,01,16.384799,367,1,18.2636,39.0763,43.24,2.69964
2004,02,28,04,03,18.68507,371,1,18.2636,39.0082,43.24,2.68742
2004,02,28,04,05,47.033904,376,1,18.244,38.9742,43.24,2.68742
2004,02,28,04,08,16.775742,381,1,18.2048,39.1443,43.24,2.68742
2004,02,28,04,08,46.835821,382,1,18.2048,39.1443,43.24,2.67532
2004,02,28,04,09,16.243433,383,1,18.1852,39.1443,43.24,2.68742
2004,02,28,04,10,46.322553,386,1,18.2048,39.0763,43.24,2.68742
2004,02,28,04,11,16.776434,387,1,18.2048,39.1443,43.24,2.68742
2004,02,28,04,11,47.203717,388,1,18.2048,39.1443,43.24,2.67532
2004,02,28,04,14,17.118766,393,1,18.1852,39.0422,43.24,2.68742
2004,02,28,04,15,46.647095,396,1,18.1558,39.1443,43.24,2.68742
2004,02,28,04,16,17.073143,397,1,18.1656,39.1443,43.24,2.68742
2004,02,28,04,18,47.019399,402,1,18.1558,39.0763,43.24,2.68742
2004,02,28,04,19,46.511723,404,1,18.1558,39.0763,43.24,2.68742
2004,02,28,04,21,46.307589,408,1,18.1362,39.0082,43.24,2.68742
2004,02,28,04,23,46.854938,412,1,18.1264,39.0422,43.24,2.67532
2004,02,28,04,25,17.167535,415,1,18.1068,39.0763,43.24,2.68742
2004,02,28,04,26,16.276988,417,1,18.097,39.0422,43.24,2.68742
2004,02,28,04,26,47.042855,418,1,18.0872,39.0082,43.24,2.68742
2004,02,28,04,27,16.717718,419,1,18.0872,39.0763,43.24,2.67532
2004,02,28,04,27,47.185901,420,1,18.0872,39.0422,43.24,2.69964
2004,02,28,04,29,46.692513,424,1,18.0872,39.0763,43.24,2.67532
2004,02,28,04,30,16.28232,425,1,18.0774,39.0422,43.24,2.68742
2004,02,28,04,31,46.793372,428,1,18.0676,39.1103,43.24,2.68742
2004,02,28,04,35,16.476847,435,1,18.0676,39.1103,43.24,2.67532
2004,02,28,04,35,46.562472,436,1,18.0676,39.0763,43.24,2.67532
2004,02,28,04,36,46.962053,438,1,18.0676,39.0082,43.24,2.68742
2004,02,28,04,40,16.838106,445,1,18.0284,39.0422,43.24,2.68742
2004,02,28,04,40,47.105162,446,1,18.0382,39.0763,43.24,2.68742
2004,02,28,04,44,16.859965,453,1,18.0284,39.0082,43.24,2.67532
2004,02,28,04,45,16.420203,455,1,18.0284,39.0082,43.24,2.68742
2004,02,28,04,45,47.139975,456,1,18.0186,39.0082,43.24,2.68742
2004,02,28,04,46,16.314707,457,1,18.0088,39.0082,43.24,2.68742
2004,02,28,04,46,46.549757,458,1,18.0088,39.0082,43.24,2.68742
2004,02,28,04,48,16.528963,461,1,17.9794,39.1103,43.24,2.67532
2004,02,28,04,48,46.700718,462,1,17.9598,39.1443,43.24,2.67532
2004,02,28,04,50,46.587995,466,1,17.9696,39.1103,43.24,2.68742
2004,02,28,04,51,16.53637,467,1,17.9598,39.1443,43.24,2.68742
2004,02,28,04,54,46.657051,474,1,17.9304,39.2123,43.24,2.67532
2004,02,28,04,55,17.16482,475,1,17.9304,39.2123,43.24,2.68742
2004,02,28,04,56,17.120256,477,1,17.9402,39.1103,43.24,2.67532
2004,02,28,04,57,16.358003,479,1,17.95,39.0763,43.24,2.67532
2004,02,28,04,59,46.529357,484,1,17.9402,39.0082,43.24,2.67532
2004,02,28,05,03,16.388863,491,1,17.9108,39.0422,43.24,2.67532
2004,02,28,05,05,16.623231,495,1,17.8814,39.0422,43.24,2.67532
2004,02,28,05,06,17.027375,497,1,17.8814,39.0763,43.24,2.67532
2004,02,28,05,07,17.167233,499,1,17.8716,39.1103,43.24,2.67532
2004,02,28,05,08,46.97046,502,1,17.8912,39.1103,43.24,2.67532
2004,02,28,05,10,16.805574,505,1,17.8814,39.1443,43.24,2.67532
2004,02,28,05,10,46.51108,506,1,17.8716,39.1103,43.24,2.68742
2004,02,28,05,11,17.021858,507,1,17.8814,39.0763,43.24,2.68742
